title,avg_user_rating,rating_count,rating_std,weighted_rating,popularity_score,consistency_score,hybrid_score,reason
"Shawshank Redemption, The (1994)",4.425531914893617,94,0.6758405630860156,1.0,1.0,0.36642378499069334,0.8732847569981387,Top movies overall
Star Wars: Episode VI - Return of the Jedi (1983),4.275,60,0.7446134249007152,0.8600748776729513,0.8233191204784438,0.32946884530247345,0.7429269440405035,Top movies overall
Saving Private Ryan (1998),4.290909090909091,55,0.7116159823931066,0.8649239225731306,0.8026622107267809,0.34682933801770605,0.7426264921081408,Top movies overall
Star Wars: Episode IV - A New Hope (1977),4.22972972972973,74,0.8882381714613609,0.8406246037005642,0.8704338569675522,0.2609735721900444,0.7336371733785567,Top movies overall
"Usual Suspects, The (1995)",4.267241379310345,58,0.8230000599080115,0.8522419375509029,0.8113901680830882,0.290748124113703,0.7276876440231185,Top movies overall
"Silence of the Lambs, The (1991)",4.160714285714286,84,0.9123011890557283,0.7961404061103685,0.8856949469995192,0.25050411103330017,0.7138795093617,Top movies overall
Schindler's List (1993),4.245901639344262,61,0.9426158232089754,0.840602307462008,0.8198545299234119,0.23768386311473175,0.7137942853309739,Top movies overall
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.225,60,0.8306878913775957,0.824748824971482,0.8092396986712836,0.28712911087693216,0.7125721442625125,Top movies overall
Casablanca (1942),4.392857142857143,28,0.6434447637685492,0.863306686274842,0.6327608356778031,0.38490319915404647,0.6984622336715711,Top movies overall
"Princess Bride, The (1987)",4.3076923076923075,39,0.7915290383956118,0.8469325364828674,0.7080069246845224,0.3058867903521864,0.6970457037172277,Top movies overall
"Dark Knight, The (2008)",4.2875,40,0.7501068299984055,0.8361531130333777,0.7101565828908639,0.3266422400239389,0.6964519793887358,Top movies overall
Forrest Gump (1994),4.065656565656566,99,0.8996781302177833,0.7310759403212074,0.902027567373488,0.2559631425003709,0.6873388688727243,Top movies overall
Fargo (1996),4.169642857142857,56,0.7992996122417864,0.781608143242611,0.7742806829752122,0.30209963550243657,0.6835082036143564,Top movies overall
"Godfather: Part II, The (1974)",4.25,38,0.732913475222118,0.8072736209802216,0.6860586106740042,0.33554872819462656,0.6765641393312374,Top movies overall
"Godfather, The (1972)",4.192982456140351,57,1.0210043460665175,0.7990058954677898,0.7857395445936247,0.20631595041217296,0.6764880011944169,Top movies overall
One Flew Over the Cuckoo's Nest (1975),4.178571428571429,42,0.6609437872432652,0.7686905762490499,0.6960803666592364,0.3748317705943697,0.6681357522411698,Top movies overall
Star Wars: Episode V - The Empire Strikes Back (1980),4.112903225806452,62,0.8703652655059598,0.7471848848050217,0.7867633135912737,0.26892416072266245,0.6634062686244253,Top movies overall
"Big Sleep, The (1946)",5.0,5,0.0,0.7710627895800305,0.2331921753755155,1.0,0.6554890474026699,Top movies overall
American Beauty (1999),4.134615384615385,52,0.9451391878789892,0.752945780942209,0.7439735621597128,0.2366347321095461,0.6469919055409276,Top movies overall
Taxi Driver (1976),4.258620689655173,29,0.7149012126457504,0.7871998578926179,0.6116879764077342,0.34507097847733403,0.646120517564096,Top movies overall
"Fugitive, The (1993)",4.074074074074074,54,0.729482935304226,0.7131164315886312,0.7378458432570822,0.3373470053464249,0.6453813698407252,Top movies overall
Braveheart (1995),4.034722222222222,72,0.9689779314369824,0.697376419989086,0.805292131983519,0.22685607677365582,0.6356470649443299,Top movies overall
Terminator 2: Judgment Day (1991),4.008064516129032,62,0.7437826200802009,0.6727137466776006,0.7570102707498517,0.3298978823171618,0.6294395310271882,Top movies overall
"Lord of the Rings: The Return of the King, The (2003)",4.1020408163265305,49,1.020516575873539,0.7272448197057332,0.7187420267985949,0.20650361092626587,0.6205457400776982,Top movies overall
Dances with Wolves (1990),3.9833333333333334,60,0.6948153435135991,0.6540062369143824,0.741189159936677,0.35592814361318226,0.6205454951608308,Top movies overall
"Maltese Falcon, The (1941)",4.461538461538462,13,0.47703679372151436,0.7855365553564796,0.42604667860966333,0.49260302625749997,0.6191028865126388,Top movies overall
"Matrix, The (1999)",4.019736842105263,76,1.1816395092516843,0.6883301660495007,0.8155766681058269,0.14907884130867424,0.6186538517182332,Top movies overall
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.0636363636363635,55,0.9956132739401334,0.7067475671934185,0.7399962332500584,0.21620659775085388,0.6186139731218975,Top movies overall
Rear Window (1954),4.260869565217392,23,0.6887004431501819,0.7640447251194935,0.5470845863999824,0.35928475984031044,0.6180046904478036,Top movies overall
Monty Python and the Holy Grail (1975),4.144736842105263,38,0.9220123023219383,0.739447599793401,0.6596430056038434,0.2463531957433955,0.6168873407265326,Top movies overall
