title,avg_user_rating,rating_count,rating_std,weighted_rating,popularity_score,consistency_score,hybrid_score,recommended_for_age_group,reason
"Shawshank Redemption, The (1994)",4.351351351351352,37,0.69586940889382,0.9685775767169197,1.0,0.49922698400610055,0.88413418515968,Adults (35+),Trending among this age group
"Bridge on the River Kwai, The (1957)",4.928571428571429,7,0.18898223650461365,1.0,0.4569047683460043,1.0,0.8370714305038012,Adults (35+),Trending among this age group
Casablanca (1942),4.428571428571429,14,0.7032108464077431,0.8937814386945737,0.6266657360520336,0.494163870343885,0.733723214231674,Adults (35+),Trending among this age group
Fargo (1996),4.204545454545454,22,0.7967058803223809,0.8022830544831933,0.7425445285001986,0.4333026675790924,0.7105654193074747,Adults (35+),Trending among this age group
One Flew Over the Cuckoo's Nest (1975),4.3,15,0.6491753010001008,0.8220751386423392,0.6197879367846482,0.5324852992093736,0.7034710101984388,Adults (35+),Trending among this age group
Star Wars: Episode IV - A New Hope (1977),4.173913043478261,23,0.8608755539377273,0.7841345729313491,0.7504861959111547,0.39507014962462134,0.6962271751639453,Adults (35+),Trending among this age group
Schindler's List (1993),4.12962962962963,27,0.9155976672748181,0.7645602185628619,0.798748997098517,0.36449006930888805,0.6948028222727637,Adults (35+),Trending among this age group
"Godfather, The (1972)",4.25,20,1.0065574473108039,0.8246985566893704,0.7187846961721364,0.3173499264241326,0.6914546724811527,Adults (35+),Trending among this age group
Lawrence of Arabia (1962),4.8,5,0.273861278752583,0.8490490143198502,0.2964767988585354,0.888365004771875,0.6911405477718607,Adults (35+),Trending among this age group
Saving Private Ryan (1998),4.264705882352941,17,0.812358584978478,0.8152892812163468,0.6591548302963162,0.4237270749248822,0.6901365046820447,Adults (35+),Trending among this age group
"Maltese Falcon, The (1941)",4.642857142857143,7,0.475594865605671,0.8673141881489562,0.39907642452163383,0.6745755257485866,0.6882951265806856,Adults (35+),Trending among this age group
Braveheart (1995),4.12,25,0.8812869377601524,0.7511373337461774,0.7659074535725962,0.3834557311657271,0.682032049178013,Adults (35+),Trending among this age group
"Usual Suspects, The (1995)",4.111111111111111,27,0.9935690651280802,0.7503438815788206,0.7927427945885485,0.3238179197921496,0.6777583631244049,Adults (35+),Trending among this age group
Taxi Driver (1976),4.416666666666667,12,0.8747293953855187,0.8596772110381459,0.5620103015349096,0.3871595084784882,0.6758735976752435,Adults (35+),Trending among this age group
Dances with Wolves (1990),4.038461538461538,26,0.6917091429651184,0.6921910810786949,0.7548847024471765,0.5021156702948871,0.6729840853324778,Adults (35+),Trending among this age group
Forrest Gump (1994),4.013888888888889,36,1.0245982565384284,0.6911237311456494,0.8700995506108365,0.3085036002513591,0.6682924508063475,Adults (35+),Trending among this age group
In the Name of the Father (1993),4.5,8,0.5345224838248488,0.828087059288147,0.4217512800002027,0.6227342253507143,0.6651157587142772,Adults (35+),Trending among this age group
Dead Man Walking (1995),4.363636363636363,11,0.674199862463242,0.8137446690032972,0.5147746436477927,0.5144306214172982,0.664190851879446,Adults (35+),Trending among this age group
Inglourious Basterds (2009),4.375,8,0.35355339059327373,0.76589058498297,0.39501835103840854,0.7962956290003785,0.6607099236030833,Adults (35+),Trending among this age group
"Princess Bride, The (1987)",4.184210526315789,19,0.9604762463918829,0.7726515660429883,0.6794185896168761,0.3406849367100908,0.6582883472485751,Adults (35+),Trending among this age group
"Shawshank Redemption, The (1994)",4.785714285714286,14,0.42581531362631997,1.0,1.0,0.7452832682974533,0.9490566536594907,Kids (5-12),Trending among this age group
Fargo (1996),4.454545454545454,11,0.650174801670499,0.7491825509057828,0.7446728963204746,0.5357203670909759,0.705137217767229,Kids (5-12),Trending among this age group
Seven (a.k.a. Se7en) (1995),4.5,9,0.5590169943749475,0.7480771367897389,0.6491362429971639,0.6135914577656548,0.6914977328471495,Kids (5-12),Trending among this age group
Schindler's List (1993),4.375,12,0.9323723407620915,0.7102447065321357,0.7652689146068427,0.34123109703929166,0.652949247055979,Kids (5-12),Trending among this age group
Good Will Hunting (1997),4.5,7,0.5,0.7110053016868418,0.5135416232402185,0.6690537950219857,0.6433758968198835,Kids (5-12),Trending among this age group
"Princess Bride, The (1987)",4.375,8,0.44320263021395917,0.6642291820948187,0.5480255314308644,0.7267135565176052,0.6418649617801897,Kids (5-12),Trending among this age group
Taxi Driver (1976),4.7,5,0.44721359549995787,0.7447608944416074,0.387119719313728,0.7224931707900931,0.6330149971729407,Kids (5-12),Trending among this age group
Wallace & Gromit: The Wrong Trousers (1993),4.7,5,0.4472135954999579,0.7447608944416074,0.387119719313728,0.7224931707900931,0.6330149971729407,Kids (5-12),Trending among this age group
