title,avg_user_rating,rating_count,rating_std,weighted_rating,popularity_score,consistency_score,hybrid_score,recommended_for_cluster,reason
"Shawshank Redemption, The (1994)",4.621212121212121,33,0.46821307633222364,1.0,1.0,0.684647958043475,0.936929591608695,0,Popular & highly rated within this segment
Star Wars: Episode VI - Return of the Jedi (1983),4.481481481481482,27,0.7780829682065433,0.8708260104924188,0.8731244433805704,0.4340693039003697,0.7841641990404544,0,Popular & highly rated within this segment
Forrest Gump (1994),4.315789473684211,38,0.7015528397157471,0.7739533094109537,0.9548578464372169,0.4874692454629694,0.7709278577292358,0,Popular & highly rated within this segment
Schindler's List (1993),4.5,22,0.7559289460184545,0.8597520641262945,0.7964609667687613,0.44904887668893084,0.7586240974315619,0,Popular & highly rated within this segment
"Silence of the Lambs, The (1991)",4.354838709677419,31,0.7766761271286851,0.78922085568944,0.8879739982270047,0.4350094396190855,0.7480045152366385,0,Popular & highly rated within this segment
Fargo (1996),4.5,18,0.5940885257860045,0.8333767268419383,0.7164218558755671,0.5711088933714003,0.7458366988579194,0,Popular & highly rated within this segment
"Usual Suspects, The (1995)",4.444444444444445,18,0.5659164584181103,0.7969689072740469,0.7011932253816378,0.5949344741083228,0.7278293160731794,0,Popular & highly rated within this segment
Wallace & Gromit: The Wrong Trousers (1993),4.8125,8,0.3720119045714225,0.8576966786828246,0.4673127174353435,0.7854662176245969,0.7261353980969347,0,Popular & highly rated within this segment
"Princess Bride, The (1987)",4.4375,16,0.5737304826019501,0.7777035725923148,0.6533408590152366,0.5882405373249101,0.7025021514657104,0,Popular & highly rated within this segment
Willy Wonka & the Chocolate Factory (1971),4.583333333333333,12,0.7017294652672369,0.821784248013867,0.5773404589982165,0.487340472889953,0.6815623562843891,0,Popular & highly rated within this segment
"Matrix, The (1999)",4.25,32,0.9503819266229833,0.7113678260782341,0.8663232563851025,0.3291834863816287,0.6814175872309736,0,Popular & highly rated within this segment
American Beauty (1999),4.2727272727272725,22,0.6310850959010189,0.701201882137091,0.7301196445010106,0.541070395612983,0.6778509135414453,0,Popular & highly rated within this segment
Reservoir Dogs (1992),4.461538461538462,13,0.6602252917735247,0.7645790048448788,0.5790383327165375,0.5183532049461737,0.6596716432266354,0,Popular & highly rated within this segment
Star Wars: Episode IV - A New Hope (1977),4.21875,32,1.0467884834255,0.6873919448993789,0.8561510470430599,0.27820114872346896,0.6561815163073013,0,Popular & highly rated within this segment
Snatch (2000),4.555555555555555,9,0.4639803635691685,0.7584781595409781,0.4594378271541631,0.6888051517378486,0.6548314582643077,0,Popular & highly rated within this segment
Terminator 2: Judgment Day (1991),4.285714285714286,21,0.8150372471769093,0.7063659439873543,0.7161750951742912,0.4098961692817238,0.6500147344023093,0,Popular & highly rated within this segment
Monty Python and the Holy Grail (1975),4.392857142857143,14,0.6557019558801508,0.7337179377847814,0.5903794575785352,0.5218270900687811,0.6483382241797074,0,Popular & highly rated within this segment
Saving Private Ryan (1998),4.2272727272727275,22,0.7516216235148273,0.6694918457392504,0.7168513800474606,0.4520052954900965,0.6402023959818827,0,Popular & highly rated within this segment
Goodfellas (1990),4.333333333333333,12,0.4438126822992974,0.6813540868234301,0.5176438586456209,0.7089477581508077,0.637759752635563,0,Popular & highly rated within this segment
Taxi Driver (1976),4.45,10,0.4972144630058764,0.7214411228526437,0.4762956096310273,0.6567962737459745,0.634968499064825,0,Popular & highly rated within this segment
"Shawshank Redemption, The (1994)",4.305555555555555,18,0.7696234543189994,1.0,1.0,0.5835521729612431,0.9167104345922487,1,Popular & highly rated within this segment
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.4375,8,0.4955156044825574,0.9067257468486289,0.5890404129362864,0.8917278624137803,0.8084205697879565,1,Popular & highly rated within this segment
"Clockwork Orange, A (1971)",4.5,5,0.49999999999999994,0.8112735511882727,0.35216430412867356,0.8857798698104464,0.6884420407948276,1,Popular & highly rated within this segment
Back to the Future (1985),4.416666666666667,6,0.6645800679125626,0.8170803775705542,0.42678448285267045,0.6896562022267899,0.6745067740864362,1,Popular & highly rated within this segment
Star Wars: Episode V - The Empire Strikes Back (1980),4.3,5,0.4472135954999579,0.7125544417644374,0.30185511782457736,0.9581312643849909,0.6384600091065901,1,Popular & highly rated within this segment
Star Wars: Episode IV - A New Hope (1977),4.041666666666667,12,0.9876126709792598,0.7113921582104696,0.6755892006803415,0.39914784645726253,0.6382024086007898,1,Popular & highly rated within this segment
"Usual Suspects, The (1995)",4.1875,8,0.8425090080061033,0.7463071940348968,0.511923072054609,0.5170402215739782,0.6301385629486267,1,Popular & highly rated within this segment
Spider-Man 2 (2004),4.3,5,0.570087712549569,0.7125544417644374,0.30185511782457736,0.7972325479787478,0.6062802658253414,1,Popular & highly rated within this segment
Star Wars: Episode VI - Return of the Jedi (1983),4.142857142857143,7,0.7480132415430957,0.6937781181842134,0.42964743069650163,0.6043387116064405,0.5966510306223454,1,Popular & highly rated within this segment
Casino Royale (2006),4.125,8,0.9161253813129042,0.7062025558314637,0.4926437368341893,0.4549976782372435,0.5918939346134373,1,Popular & highly rated within this segment
Pulp Fiction (1994),3.78125,16,1.0160175523418218,0.5276969148471184,0.7242229312728792,0.3780559499337361,0.5567265267921702,1,Popular & highly rated within this segment
"Dark Knight, The (2008)",3.9444444444444446,9,0.8457409637576849,0.6039286694164034,0.49529256732498766,0.5142125188285257,0.5533946086714032,1,Popular & highly rated within this segment
"Silence of the Lambs, The (1991)",3.7,15,0.8194074514114278,0.4560351484035113,0.6604141086919716,0.5375447777320534,0.5336507623557578,1,Popular & highly rated within this segment
Terminator 2: Judgment Day (1991),3.75,12,0.7833494518006403,0.48680618427124434,0.5705616633735697,0.570610950153254,0.5286937811783439,1,Popular & highly rated within this segment
X-Men (2000),4.0,7,0.8164965809277259,0.6082215566835566,0.387942609372019,0.5401654158068878,0.5285266443147616,1,Popular & highly rated within this segment
"Godfather, The (1972)",4.083333333333333,6,0.8010409893798611,0.6337448886405741,0.3357220775269221,0.5542218825106575,0.5284334440804952,1,Popular & highly rated within this segment
Braveheart (1995),3.8846153846153846,13,1.4016931153942327,0.5977959733204713,0.6594516522546383,0.14105012597231692,0.5249435075310905,1,Popular & highly rated within this segment
Forrest Gump (1994),3.6666666666666665,21,1.1217545780309226,0.4357190372499122,0.8113681136786486,0.30450532774390254,0.5221710182773311,1,Popular & highly rated within this segment
Die Hard: With a Vengeance (1995),3.6818181818181817,11,0.6431456783935997,0.43167791334893346,0.5046363251722434,0.712973546113028,0.5098245634487454,1,Popular & highly rated within this segment
